iter	Passed	Remaining
424	1711	2315
425	1713	2308
426	1714	2300
427	1719	2297
428	1721	2291
429	1722	2283
430	1724	2276
431	1725	2269
432	1727	2261
433	1728	2254
434	1729	2246
435	1734	2243
436	1736	2237
437	1738	2230
438	1740	2223
439	1741	2216
440	1743	2209
441	1745	2203
442	1750	2200
443	1751	2193
444	1753	2187
445	1755	2180
446	1757	2173
447	1758	2167
448	1760	2160
449	1765	2157
450	1767	2151
451	1769	2145
452	1771	2139
453	1775	2135
454	1780	2132
455	1782	2126
456	1784	2119
457	1785	2113
458	1787	2106
459	1789	2100
460	1790	2094
461	1795	2090
462	1796	2084
463	1798	2077
464	1800	2071
465	1802	2065
466	1804	2059
467	1806	2053
468	1810	2049
469	1812	2044
470	1814	2038
471	1817	2033
472	1819	2027
473	1821	2021
474	1823	2015
475	1825	2009
476	1826	2002
477	1828	1996
478	1829	1990
479	1831	1983
480	1832	1977
481	1833	1970
482	1835	1964
483	1837	1958
484	1839	1953
485	1841	1947
486	1842	1941
487	1844	1935
488	1845	1928
489	1847	1922
490	1848	1916
491	1850	1910
492	1853	1906
493	1856	1901
494	1857	1895
495	1859	1889
496	1861	1883
497	1863	1878
498	1865	1872
499	1868	1868
500	1870	1862
501	1871	1857
502	1873	1851
503	1874	1845
504	1876	1839
505	1877	1833
506	1879	1827
507	1880	1821
508	1884	1817
509	1886	1812
510	1887	1806
511	1889	1801
512	1891	1795
513	1893	1790
514	1894	1784
515	1897	1780
516	1900	1775
517	1902	1769
518	1903	1764
519	1905	1759
520	1907	1753
521	1909	1748
522	1914	1745
523	1915	1740
524	1917	1735
525	1919	1729
526	1921	1724
527	1923	1719
528	1924	1713
529	1929	1711
530	1932	1706
531	1933	1701
532	1935	1695
533	1937	1690
534	1939	1685
535	1944	1683
536	1947	1678
537	1949	1673
538	1951	1668
539	1953	1664
540	1961	1664
541	1964	1660
542	1967	1655
543	1969	1651
544	1974	1648
545	1976	1643
546	1978	1638
547	1979	1632
548	1981	1627
549	1982	1622
550	1984	1617
551	1985	1611
552	1989	1608
553	1990	1602
554	1992	1597
555	1993	1592
556	1995	1587
557	1996	1581
558	1998	1576
559	1999	1571
560	2001	1566
561	2003	1561
562	2005	1556
563	2006	1551
564	2008	1545
565	2009	1540
566	2011	1535
567	2012	1530
568	2014	1526
569	2018	1522
570	2020	1517
571	2022	1513
572	2024	1508
573	2026	1503
574	2028	1499
575	2030	1494
576	2032	1490
577	2034	1485
578	2036	1480
579	2038	1476
580	2040	1471
581	2042	1466
582	2045	1463
583	2047	1458
584	2049	1454
585	2051	1449
586	2054	1445
587	2056	1441
588	2058	1436
589	2062	1433
590	2064	1428
591	2066	1424
592	2068	1419
593	2070	1414
594	2071	1410
595	2075	1406
596	2077	1402
597	2079	1398
598	2081	1393
599	2084	1389
600	2085	1384
601	2088	1380
602	2092	1377
603	2096	1374
604	2099	1370
605	2100	1365
606	2102	1361
607	2107	1358
608	2108	1353
609	2110	1349
610	2112	1345
611	2114	1340
612	2116	1336
613	2118	1331
614	2122	1328
615	2124	1324
616	2127	1320
617	2128	1315
618	2130	1311
619	2132	1307
620	2137	1304
621	2139	1300
622	2141	1295
623	2143	1291
624	2146	1287
625	2148	1283
626	2152	1280
627	2154	1276
628	2156	1272
629	2158	1267
630	2160	1263
631	2161	1258
632	2163	1254
633	2168	1251
634	2169	1247
635	2171	1242
636	2173	1238
637	2174	1233
638	2175	1229
639	2177	1224
640	2178	1220
641	2182	1216
642	2183	1212
643	2185	1208
644	2186	1203
645	2188	1199
646	2189	1194
647	2191	1190
648	2192	1185
649	2193	1181
650	2197	1178
651	2198	1173
652	2200	1169
653	2201	1164
654	2203	1160
655	2204	1156
656	2205	1151
657	2207	1147
658	2208	1142
659	2212	1139
660	2213	1135
661	2215	1131
662	2216	1126
663	2218	1122
664	2219	1118
665	2221	1113
666	2222	1109
667	2223	1105
668	2225	1101
669	2226	1096
670	2228	1092
671	2229	1088
672	2231	1084
673	2232	1079
674	2233	1075
675	2235	1071
676	2238	1068
677	2240	1064
678	2242	1060
679	2244	1056
680	2246	1052
681	2248	1048
682	2249	1044
683	2251	1040
684	2254	1036
685	2256	1032
686	2257	1028
687	2259	1024
688	2260	1020
689	2262	1016
690	2263	1012
691	2265	1008
692	2270	1005
693	2272	1002
694	2274	998
695	2275	994
696	2277	989
697	2278	986
698	2280	981
699	2284	978
700	2285	974
701	2287	970
702	2288	966
703	2290	962
704	2291	958
705	2292	954
706	2294	950
707	2295	946
708	2299	943
709	2301	939
710	2302	935
711	2303	931
712	2305	927
713	2306	923
714	2308	920
715	2310	916
716	2314	913
717	2315	909
718	2317	905
719	2318	901
720	2320	897
721	2321	893
722	2324	890
723	2329	887
724	2331	884
725	2333	880
726	2334	876
727	2337	873
728	2339	869
729	2341	865
730	2344	862
731	2346	858
732	2347	855
733	2348	851
734	2350	847
735	2351	843
736	2353	839
737	2354	835
738	2356	832
739	2360	829
740	2361	825
741	2363	821
742	2368	819
743	2370	815
744	2374	812
745	2376	809
746	2377	805
747	2380	801
748	2382	798
749	2383	794
750	2386	791
751	2388	787
752	2390	783
753	2391	780
754	2392	776
755	2394	772
756	2395	769
757	2397	765
758	2398	761
759	2402	758
760	2403	754
761	2404	751
762	2406	747
763	2407	743
764	2409	740
765	2411	736
766	2412	732
767	2416	730
768	2418	726
769	2420	722
770	2422	719
771	2424	715
772	2427	712
773	2430	709
774	2432	706
775	2434	702
776	2435	698
777	2436	695
778	2438	691
779	2439	688
780	2441	684
781	2442	680
782	2446	677
783	2447	674
784	2449	670
785	2450	667
786	2451	663
787	2453	660
788	2455	656
789	2456	653
790	2458	649
791	2461	646
792	2462	642
793	2464	639
794	2465	635
795	2467	632
796	2468	628
797	2470	625
798	2471	621
799	2473	618
800	2476	615
801	2477	611
802	2478	608
803	2480	604
804	2481	601
805	2483	597
806	2484	594
807	2486	590
808	2488	587
809	2491	584
810	2492	580
811	2494	577
812	2495	574
813	2497	570
814	2498	567
815	2499	563
816	2501	560
817	2504	557
818	2506	553
819	2508	550
820	2509	547
821	2511	543
822	2512	540
823	2514	536
824	2515	533
825	2516	530
826	2520	527
827	2522	524
828	2525	520
829	2527	517
830	2529	514
831	2531	511
832	2536	508
833	2538	505
834	2540	501
835	2541	498
836	2543	495
837	2545	492
838	2546	488
839	2551	486
840	2554	482
841	2556	479
842	2557	476
843	2559	473
844	2561	469
845	2565	466
846	2567	463
847	2569	460
848	2570	457
849	2572	453
850	2574	450
851	2575	447
852	2577	444
853	2582	441
854	2583	438
855	2586	435
856	2587	431
857	2589	428
858	2591	425
859	2594	422
860	2597	419
861	2598	416
862	2600	412
863	2601	409
864	2603	406
865	2604	403
866	2605	399
867	2607	396
868	2611	393
869	2613	390
870	2615	387
871	2617	384
872	2618	380
873	2621	377
874	2622	374
875	2626	371
876	2628	368
877	2629	365
878	2630	362
879	2632	358
880	2633	355
881	2635	352
882	2636	349
883	2639	346
884	2641	343
885	2642	340
886	2644	336
887	2645	333
888	2647	330
889	2648	327
890	2650	324
891	2651	321
892	2657	318
893	2658	315
894	2660	312
895	2662	309
896	2664	305
897	2665	302
898	2667	299
899	2670	296
900	2671	293
901	2673	290
902	2674	287
903	2676	284
904	2677	281
905	2678	277
906	2680	274
907	2685	272
908	2687	269
909	2689	265
910	2690	262
911	2691	259
912	2693	256
913	2695	253
914	2696	250
915	2700	247
916	2702	244
917	2704	241
918	2705	238
919	2707	235
920	2710	232
921	2712	229
922	2715	226
923	2717	223
924	2718	220
925	2719	217
926	2721	214
927	2722	211
928	2724	208
929	2725	205
930	2727	202
931	2730	199
932	2731	196
933	2732	193
934	2734	190
935	2736	187
936	2737	184
937	2738	181
938	2740	178
939	2744	175
940	2745	172
941	2747	169
942	2748	166
943	2750	163
944	2752	160
945	2753	157
946	2755	154
947	2756	151
948	2759	148
949	2761	145
950	2762	142
951	2764	139
952	2766	136
953	2767	133
954	2768	130
955	2770	127
956	2773	124
957	2775	121
958	2776	118
959	2778	115
960	2780	112
961	2782	109
962	2783	106
963	2785	104
964	2788	101
965	2790	98
966	2791	95
967	2793	92
968	2794	89
969	2796	86
970	2797	83
971	2798	80
972	2800	77
973	2803	74
974	2806	71
975	2807	69
976	2809	66
977	2811	63
978	2813	60
979	2815	57
980	2817	54
981	2819	51
982	2821	48
983	2822	45
984	2823	43
985	2825	40
986	2826	37
987	2828	34
988	2829	31
989	2833	28
990	2834	25
991	2836	22
992	2837	20
993	2839	17
994	2840	14
995	2841	11
996	2843	8
997	2844	5
998	2848	2
999	2850	0
